V4_0,Time_codelist,Time,Geography_codelist,Geography,Age_codelist,Age,Sex_codelist,Sex
12327,Year,2016,N92000002,Northern Ireland,26,26,1,Male
24620,Year,2016,N92000002,Northern Ireland,26,26,0,All
12595,Year,2013,N92000002,Northern Ireland,26,26,2,Female
12414,Year,2013,N92000002,Northern Ireland,26,26,1,Male
12544,Year,2014,N92000002,Northern Ireland,26,26,2,Female
25009,Year,2013,N92000002,Northern Ireland,26,26,0,All
12307,Year,2014,N92000002,Northern Ireland,26,26,1,Male
24851,Year,2014,N92000002,Northern Ireland,26,26,0,All
12305,Year,2015,N92000002,Northern Ireland,26,26,2,Female
12301,Year,2015,N92000002,Northern Ireland,26,26,1,Male
24606,Year,2015,N92000002,Northern Ireland,26,26,0,All
12325,Year,2016,N92000002,Northern Ireland,27,27,2,Female
12332,Year,2016,N92000002,Northern Ireland,27,27,1,Male
12697,Year,2013,N92000002,Northern Ireland,27,27,2,Female
24657,Year,2016,N92000002,Northern Ireland,27,27,0,All
12278,Year,2013,N92000002,Northern Ireland,27,27,1,Male
24975,Year,2013,N92000002,Northern Ireland,27,27,0,All
12601,Year,2014,N92000002,Northern Ireland,27,27,2,Female
12400,Year,2014,N92000002,Northern Ireland,27,27,1,Male
25001,Year,2014,N92000002,Northern Ireland,27,27,0,All
12593,Year,2015,N92000002,Northern Ireland,27,27,2,Female
12352,Year,2015,N92000002,Northern Ireland,27,27,1,Male
24945,Year,2015,N92000002,Northern Ireland,27,27,0,All
12373,Year,2016,N92000002,Northern Ireland,28,28,1,Male
12607,Year,2016,N92000002,Northern Ireland,28,28,2,Female
24980,Year,2016,N92000002,Northern Ireland,28,28,0,All
12693,Year,2013,N92000002,Northern Ireland,28,28,2,Female
12338,Year,2013,N92000002,Northern Ireland,28,28,1,Male
25031,Year,2013,N92000002,Northern Ireland,28,28,0,All
12277,Year,2014,N92000002,Northern Ireland,28,28,1,Male
12756,Year,2014,N92000002,Northern Ireland,28,28,2,Female
25033,Year,2014,N92000002,Northern Ireland,28,28,0,All
12609,Year,2015,N92000002,Northern Ireland,28,28,2,Female
12403,Year,2015,N92000002,Northern Ireland,28,28,1,Male
25012,Year,2015,N92000002,Northern Ireland,28,28,0,All
12641,Year,2016,N92000002,Northern Ireland,29,29,2,Female
12434,Year,2016,N92000002,Northern Ireland,29,29,1,Male
25075,Year,2016,N92000002,Northern Ireland,29,29,0,All
12611,Year,2013,N92000002,Northern Ireland,29,29,2,Female
12059,Year,2013,N92000002,Northern Ireland,29,29,1,Male
24670,Year,2013,N92000002,Northern Ireland,29,29,0,All
12666,Year,2014,N92000002,Northern Ireland,29,29,2,Female
12276,Year,2014,N92000002,Northern Ireland,29,29,1,Male
24942,Year,2014,N92000002,Northern Ireland,29,29,0,All
12828,Year,2015,N92000002,Northern Ireland,29,29,2,Female
25174,Year,2015,N92000002,Northern Ireland,29,29,0,All
12346,Year,2015,N92000002,Northern Ireland,29,29,1,Male
12825,Year,2016,N92000002,Northern Ireland,30,30,2,Female
25211,Year,2016,N92000002,Northern Ireland,30,30,0,All
12386,Year,2016,N92000002,Northern Ireland,30,30,1,Male
12491,Year,2013,N92000002,Northern Ireland,30,30,2,Female
11920,Year,2013,N92000002,Northern Ireland,30,30,1,Male
24411,Year,2013,N92000002,Northern Ireland,30,30,0,All
12599,Year,2014,N92000002,Northern Ireland,30,30,2,Female
24651,Year,2014,N92000002,Northern Ireland,30,30,0,All
12052,Year,2014,N92000002,Northern Ireland,30,30,1,Male
12672,Year,2015,N92000002,Northern Ireland,30,30,2,Female
12352,Year,2015,N92000002,Northern Ireland,30,30,1,Male
25024,Year,2015,N92000002,Northern Ireland,30,30,0,All
12631,Year,2016,N92000002,Northern Ireland,31,31,2,Female
12391,Year,2016,N92000002,Northern Ireland,31,31,1,Male
25022,Year,2016,N92000002,Northern Ireland,31,31,0,All
12563,Year,2013,N92000002,Northern Ireland,31,31,2,Female
11923,Year,2013,N92000002,Northern Ireland,31,31,1,Male
24486,Year,2013,N92000002,Northern Ireland,31,31,0,All
12505,Year,2014,N92000002,Northern Ireland,31,31,2,Female
11910,Year,2014,N92000002,Northern Ireland,31,31,1,Male
24415,Year,2014,N92000002,Northern Ireland,31,31,0,All
12599,Year,2015,N92000002,Northern Ireland,31,31,2,Female
12101,Year,2015,N92000002,Northern Ireland,31,31,1,Male
24700,Year,2015,N92000002,Northern Ireland,31,31,0,All
12570,Year,2016,N92000002,Northern Ireland,32,32,2,Female
12105,Year,2016,N92000002,Northern Ireland,32,32,1,Male
24675,Year,2016,N92000002,Northern Ireland,32,32,0,All
12777,Year,2013,N92000002,Northern Ireland,32,32,2,Female
12188,Year,2013,N92000002,Northern Ireland,32,32,1,Male
24965,Year,2013,N92000002,Northern Ireland,32,32,0,All
12517,Year,2014,N92000002,Northern Ireland,32,32,2,Female
11885,Year,2014,N92000002,Northern Ireland,32,32,1,Male
12526,Year,2015,N92000002,Northern Ireland,32,32,2,Female
24402,Year,2014,N92000002,Northern Ireland,32,32,0,All
11918,Year,2015,N92000002,Northern Ireland,32,32,1,Male
24444,Year,2015,N92000002,Northern Ireland,32,32,0,All
12510,Year,2016,N92000002,Northern Ireland,33,33,2,Female
11922,Year,2016,N92000002,Northern Ireland,33,33,1,Male
24432,Year,2016,N92000002,Northern Ireland,33,33,0,All
12855,Year,2013,N92000002,Northern Ireland,33,33,2,Female
25035,Year,2013,N92000002,Northern Ireland,33,33,0,All
12180,Year,2013,N92000002,Northern Ireland,33,33,1,Male
12767,Year,2014,N92000002,Northern Ireland,33,33,2,Female
12154,Year,2014,N92000002,Northern Ireland,33,33,1,Male
24921,Year,2014,N92000002,Northern Ireland,33,33,0,All
12540,Year,2015,N92000002,Northern Ireland,33,33,2,Female
11910,Year,2015,N92000002,Northern Ireland,33,33,1,Male
24450,Year,2015,N92000002,Northern Ireland,33,33,0,All
12565,Year,2016,N92000002,Northern Ireland,34,34,2,Female
11924,Year,2016,N92000002,Northern Ireland,34,34,1,Male
24489,Year,2016,N92000002,Northern Ireland,34,34,0,All
12440,Year,2013,N92000002,Northern Ireland,34,34,2,Female
11414,Year,2013,N92000002,Northern Ireland,34,34,1,Male
23854,Year,2013,N92000002,Northern Ireland,34,34,0,All
12855,Year,2014,N92000002,Northern Ireland,34,34,2,Female
12173,Year,2014,N92000002,Northern Ireland,34,34,1,Male
25028,Year,2014,N92000002,Northern Ireland,34,34,0,All
12798,Year,2015,N92000002,Northern Ireland,34,34,2,Female
12214,Year,2015,N92000002,Northern Ireland,34,34,1,Male
25012,Year,2015,N92000002,Northern Ireland,34,34,0,All
12805,Year,2016,N92000002,Northern Ireland,35,35,2,Female
12195,Year,2016,N92000002,Northern Ireland,35,35,1,Male
25000,Year,2016,N92000002,Northern Ireland,35,35,0,All
11802,Year,2013,N92000002,Northern Ireland,35,35,2,Female
11118,Year,2013,N92000002,Northern Ireland,35,35,1,Male
12446,Year,2014,N92000002,Northern Ireland,35,35,2,Female
22920,Year,2013,N92000002,Northern Ireland,35,35,0,All
11395,Year,2014,N92000002,Northern Ireland,35,35,1,Male
23841,Year,2014,N92000002,Northern Ireland,35,35,0,All
12804,Year,2015,N92000002,Northern Ireland,35,35,2,Female
12159,Year,2015,N92000002,Northern Ireland,35,35,1,Male
24963,Year,2015,N92000002,Northern Ireland,35,35,0,All
12801,Year,2016,N92000002,Northern Ireland,36,36,2,Female
12166,Year,2016,N92000002,Northern Ireland,36,36,1,Male
11624,Year,2013,N92000002,Northern Ireland,36,36,2,Female
24967,Year,2016,N92000002,Northern Ireland,36,36,0,All
11027,Year,2013,N92000002,Northern Ireland,36,36,1,Male
22651,Year,2013,N92000002,Northern Ireland,36,36,0,All
11802,Year,2014,N92000002,Northern Ireland,36,36,2,Female
11105,Year,2014,N92000002,Northern Ireland,36,36,1,Male
22907,Year,2014,N92000002,Northern Ireland,36,36,0,All
12468,Year,2015,N92000002,Northern Ireland,36,36,2,Female
23892,Year,2015,N92000002,Northern Ireland,36,36,0,All
11424,Year,2015,N92000002,Northern Ireland,36,36,1,Male
11459,Year,2016,N92000002,Northern Ireland,37,37,1,Male
12528,Year,2016,N92000002,Northern Ireland,37,37,2,Female
11705,Year,2013,N92000002,Northern Ireland,37,37,2,Female
23987,Year,2016,N92000002,Northern Ireland,37,37,0,All
11097,Year,2013,N92000002,Northern Ireland,37,37,1,Male
22802,Year,2013,N92000002,Northern Ireland,37,37,0,All
